.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR908430_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908430_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908431_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908431_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908432_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908432_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908433_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908433_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908434_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908434_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908435_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908435_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908436_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908436_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908437_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908437_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908438_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908438_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908439_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908439_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908440_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908440_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908441_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908441_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908442_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908442_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908443_1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
SRR908443_2	1	0.25	0.5	0.25	0.25	1	1	0.5	0.25	0.25
SRR908444_1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
SRR908444_2	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
SRR908445_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908445_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908446_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908446_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908447_1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
SRR908447_2	1	0.25	1	0.25	0.25	1	1	1	0.25	0.25
SRR908448_1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
SRR908448_2	1	0.25	0.5	0.25	0.25	1	1	0.5	0.25	0.25
SRR908449_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908449_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908450_1	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908450_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908451_1	1	0.25	0.5	0.25	0.5	1	1	0.25	0.25	0.25
SRR908451_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908452_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR908452_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
SRR908453_1	1	0.25	0.5	0.25	0.5	1	1	0.25	0.25	0.25
SRR908453_2	1	0.25	0.5	0.25	0.25	1	1	0.25	0.25	0.25
